Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
,Spain,2020-2-1,1,,0,0
,Sri Lanka,2020-1-31,1,,0,0
,Sweden,2020-2-1,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-4,13522,,397,414
Zhejiang,Mainland China,2020-2-4,829,,62,0
Guangdong,Mainland China,2020-2-4,813,,30,0
Henan,Mainland China,2020-2-4,675,,27,2
Hunan,Mainland China,2020-2-4,593,,31,0
Anhui,Mainland China,2020-2-4,480,,20,0
Jiangxi,Mainland China,2020-2-4,476,,20,0
Chongqing,Mainland China,2020-2-4,344,,9,2
Jiangsu,Mainland China,2020-2-4,308,,12,0
Sichuan,Mainland China,2020-2-4,282,,14,1
Shandong,Mainland China,2020-2-4,275,,11,0
Beijing,Mainland China,2020-2-4,228,,23,1
Shanghai,Mainland China,2020-2-4,219,,12,1
Fujian,Mainland China,2020-2-4,194,,3,0
Heilongjiang,Mainland China,2020-2-4,155,,4,2
Shaanxi,Mainland China,2020-2-4,142,,2,0
Guangxi,Mainland China,2020-2-4,139,,10,0
Hebei,Mainland China,2020-2-4,126,,4,1
Yunnan,Mainland China,2020-2-4,119,,5,0
Liaoning,Mainland China,2020-2-4,81,,2,0
Hainan,Mainland China,2020-2-4,80,,5,1
Shanxi,Mainland China,2020-2-4,74,,4,0
Tianjin,Mainland China,2020-2-4,67,,2,0
Guizhou,Mainland China,2020-2-4,58,,2,0
Gansu,Mainland China,2020-2-4,57,,4,0
Jilin,Mainland China,2020-2-4,42,,1,0
Inner Mongolia,Mainland China,2020-2-4,35,,1,0
Ningxia,Mainland China,2020-2-4,34,,1,0
Xinjiang,Mainland China,2020-2-4,29,,0,0
,Thailand,2020-2-4,25,,5,0
,Singapore,2020-2-4,24,,0,0
,Japan,2020-2-4,22,,1,0
Hong Kong,Hong Kong,2020-2-4,17,,0,1
,South Korea,2020-2-4,16,,0,0
Qinghai,Mainland China,2020-2-4,15,,0,0
,Germany,2020-2-3,12,,0,0
Taiwan,Taiwan,2020-2-4,11,,0,0
Macau,Macau,2020-2-4,10,,0,0
,Malaysia,2020-2-4,10,,0,0
,Vietnam,2020-2-3,8,,1,0
,France,2020-2-1,6,,0,0
,United Arab Emirates,2020-2-2,5,,0,0
New South Wales,Australia,2020-2-1,4,,2,0
Victoria,Australia,2020-2-1,4,,0,0
Queensland,Australia,2020-2-4,3,,0,0
,India,2020-2-3,3,,0,0
South Australia,Australia,2020-2-2,2,,0,0
"Toronto, ON",Canada,2020-2-4,2,,0,0
,Italy,2020-1-31,2,,0,0
,Philippines,2020-2-2,2,,0,1
,Russia,2020-1-31,2,,0,0
,UK,2020-2-1,2,,0,0
"Chicago, IL",United States,2020-2-1,2,,0,0
"San Benito, CA",United States,2020-2-3,2,,0,0
"Santa Clara, CA",United States,2020-2-3,2,,0,0
,Belgium,2020-2-4,1,,0,0
,Cambodia,2020-1-31,1,,0,0
British Columbia,Canada,2020-2-1,1,,0,0
"London, ON",Canada,2020-2-4,1,,0,0
,Finland,2020-1-31,1,,0,0
Tibet,Mainland China,2020-2-1,1,,0,0
,Nepal,2020-1-31,1,,0,0
,Spain,2020-2-1,1,,0,0
,Sri Lanka,2020-1-31,1,,0,0
,Sweden,2020-2-1,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-4,13522,,397,414
Zhejiang,Mainland China,2020-2-4,829,,62,0
Guangdong,Mainland China,2020-2-4,813,,30,0
Henan,Mainland China,2020-2-4,675,,27,2
Hunan,Mainland China,2020-2-4,593,,30,0
Anhui,Mainland China,2020-2-4,480,,20,0
Jiangxi,Mainland China,2020-2-4,476,,19,0
Chongqing,Mainland China,2020-2-4,344,,9,2
Jiangsu,Mainland China,2020-2-4,308,,12,0
Sichuan,Mainland China,2020-2-4,282,,14,1
Shandong,Mainland China,2020-2-4,275,,11,0
Beijing,Mainland China,2020-2-4,228,,23,1
Shanghai,Mainland China,2020-2-4,219,,12,1
Fujian,Mainland China,2020-2-4,194,,3,0
Heilongjiang,Mainland China,2020-2-4,155,,4,2
Shaanxi,Mainland China,2020-2-4,142,,2,0
Guangxi,Mainland China,2020-2-4,139,,10,0
Hebei,Mainland China,2020-2-4,126,,4,1
Yunnan,Mainland China,2020-2-4,119,,5,0
Hainan,Mainland China,2020-2-4,80,,5,1
Liaoning,Mainland China,2020-2-4,77,,2,0
Shanxi,Mainland China,2020-2-4,74,,4,0
